CourseID,ScheduleID,DisplayDate,Timezone,Format,Price,OldPrice,TrainerName,TrainerBio,TrainerImg,TrainerLinkedIn
icp-apm,APM-MAR02-AA,"March 2, 3, 4","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
icp-apm,APM-FEB07-AA,"Feb 7, 8, 14","8 am - 12:30 pm India | 10:30 am - 3 pm Singapore | 1 pm - 5:30 pm Sydney","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
icp-apm,APM-MAR07-AA,"Mar 7, 8, 14","8 am - 12:30 pm India | 10:30 am - 3 pm Singapore | 1 pm - 5:30 pm Sydney","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
icp-apm,APM-MAR16-AA,"March 16, 17, 18","9 AM - 1:30 PM EST | 2 PM - 6:30 PM UK","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
icp-apm,APM-MAR21-AA,"Mar 21, 22, 28","8 am - 12:30 pm London | 1:30 pm - 6 pm India | 4 pm - 8:30 pm Singapore","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
icp-apm,APM-MAR23-AA,"March 23, 24, 25","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
icp-apm,APM-APR01-AA,"April 1, 2, 3","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
icp-apm,APM-APR04-AA,"Apr 4, 5, 11","8 am - 12:30 pm India | 10:30 am - 3 pm Singapore | 2 pm - 6:30 pm Sydney","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
icp-apm,APM-APR06-AA,"April 6, 7, 8","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
icp-apm,APM-APR13-AA,"April 13, 14, 15","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",749,1999,"Ashish / Ajeet","Expert Agile Transformation Leads","assets/trainers/ashish-ajeet.png","https://linkedin.com/in/prashantshinde"
