CourseID,ScheduleID,DisplayDate,Timezone,Format,Price,OldPrice,TrainerName,TrainerBio,TrainerImg,TrainerLinkedIn
icp-cat,CAT-MAR09-AN,"March 9, 10, 11, 12","12 PM - 4 PM EST | 5 PM - 9 PM UK","Live Online",599,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-cat,CAT-FEB07-NI,"Feb 7, 8, 14, 15","8 am - 12 pm India | 10:30 am - 2:30 pm Singapore | 1 pm - 5 pm Sydney","Live Online",599,1599,"Nivarti / Ilija","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp-cat,CAT-FEB21-NI,"Feb 21, 22, 28, Mar 1","8 am - 12 pm London | 1:30 pm - 5:30 pm India | 4 pm - 8 pm Singapore","Live Online",599,1599,"Nivarti / Ian","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ian.png","https://linkedin.com/in/prashantshinde"
icp-cat,CAT-MAR07-NI,"Mar 7, 8, 14, 15","8 am - 12 pm India | 10:30 am - 2:30 pm Singapore | 1 pm - 5 pm Sydney","Live Online",599,1599,"Nivarti / Ilija","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp-cat,CAT-MAR02-AN,"March 2, 3, 4, 5","8 AM - 12 PM EST | 1 PM - 5 PM UK","Live Online",599,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-cat,CAT-MAR16-AN,"March 16, 17, 18, 19","12 PM - 4 PM EST | 5 PM - 9 PM UK","Live Online",599,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-cat,CAT-MAR21-NI,"Mar 21, 22, 28, 29","8 am - 12 pm London | 1:30 pm - 5:30 pm India | 4 pm - 8 pm Singapore","Live Online",599,1599,"Nivarti / Ian","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ian.png","https://linkedin.com/in/prashantshinde"
icp-cat,CAT-MAR23-NA,"March 23, 24, 25, 26","8 AM - 12 PM EST | 1 PM - 5 PM UK","Live Online",599,1599,"Nivarti / Ashish","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ashish.png","https://linkedin.com/in/prashantshinde"
icp-cat,CAT-APR04-NI,"Apr 4, 5, 11, 12","8 am - 12 pm India | 10:30 am - 2:30 pm Singapore | 2 pm - 6 pm Sydney","Live Online",599,1599,"Nivarti / Ilija","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp-cat,CAT-APR06-AN,"April 6, 7, 8, 9","8 AM - 12 PM EST | 1 PM - 5 PM UK","Live Online",599,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
