CourseID,ScheduleID,DisplayDate,Timezone,Format,Price,OldPrice,TrainerName,TrainerBio,TrainerImg,TrainerLinkedIn
icp-ent,ENT-MAR23-AN,"March 23, 24, 25","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-FEB21-NI,"Feb 21, 22, 28","8 am - 12:30 pm London | 1:30 pm - 6 pm India | 4 pm - 8:30 pm Singapore","Live Online",598,1599,"Nivarti / Ian","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ian.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-MAR02-AN,"March 2, 3, 4","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-MAR07-NA,"Mar 7, 8, 14","8 am - 12:30 pm India | 10:30 am - 3 pm Singapore | 1 pm - 5:30 pm Sydney","Live Online",598,1599,"Nivarti / Ashish","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ashish.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-MAR21-NI,"Mar 21, 22, 28","8 am - 12:30 pm London | 1:30 pm - 6 pm India | 4 pm - 8:30 pm Singapore","Live Online",598,1599,"Nivarti / Ian","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ian.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-APR04-NA,"Apr 4, 5, 11","8 am - 12:30 pm India | 10:30 am - 3 pm Singapore | 2 pm - 6:30 pm Sydney","Live Online",598,1599,"Nivarti / Ashish","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ashish.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-APR04-AN,"April 4, 5","8 am - 3 pm EST | 1 pm - 8 pm UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-APR06-AN,"April 6, 7, 8","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-APR13-AN,"April 13, 14, 15","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-APR18-NI,"Apr 18, 19, 25","8 am - 12:30 pm London | 12:30 pm - 5 pm India | 3 pm - 7:30 pm Singapore","Live Online",598,1599,"Nivarti / Ian","Expert Enterprise Coaching Leads","assets/trainers/nivarti-ian.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-APR20-AN,"April 20, 21, 22","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-APR27-AN,"April 27, 28, 29","9 AM - 1:30 PM EST | 2 PM - 6:30 PM UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-MAY02-AN,"May 2, 3","8 am - 3 pm EST | 1 pm - 8 pm UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-MAY04-AN,"May 4, 5, 6","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-MAY11-AN,"May 11, 12, 13","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-MAY19-AN,"May 19, 20, 21 or May 20, 21, 22","6 PM - 10 PM EST or 8 AM - 12 PM Sydney","Live Online",598,1599,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-JUN08-AN,"June 8, 9, 10","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",598,1999,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-JUN01-AN,"June 1, 2, 3","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",598,1999,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-JUN06-AN,"June 6, 7","8 am - 3 pm EST | 1 pm - 8 pm UK","Live Online",598,1999,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-MAY25-AN,"May 25, 26, 27","9 AM - 1:30 PM EST | 2 PM - 6:30 PM UK","Live Online",598,1999,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
icp-ent,ENT-JUN15-AN,"June 15, 16, 17","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",598,1999,"Ashish / Nivarti","Expert Enterprise Coaching Leads","assets/trainers/ashish-nivarti.png","https://linkedin.com/in/prashantshinde"
