CourseID,ScheduleID,DisplayDate,Timezone,Format,Price,OldPrice,TrainerName,TrainerBio,TrainerImg,TrainerLinkedIn
icp,ICP-MAR02-IN,"March 2, 3, 4","11 AM - 3:30 PM EST | 4 PM - 8:30 PM UK","Live Online",549,1499,"Ilija / Nivarti","Expert Agile transformation Leads","assets/trainers/ilija-nivarti.png","https://linkedin.com/in/prashantshinde"
icp,ICP-MAR07-NI,"Mar 7, 8, 14","8 am - 12:30 pm India | 10:30 am - 3 pm Singapore | 1 pm - 5:30 pm Sydney","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-MAR09-NJ,"March 9, 10, 11","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",549,1499,"Nivarti Jayaram","Expert Agile transformation Lead","assets/trainers/nivarti.png","https://linkedin.com/in/prashantshinde"
icp,ICP-MAR16-IN,"March 16, 17, 18","11 AM - 3:30 PM EST | 4 PM - 8:30 PM UK","Live Online",549,1499,"Ilija / Nivarti","Expert Agile transformation Leads","assets/trainers/ilija-nivarti.png","https://linkedin.com/in/prashantshinde"
icp,ICP-MAR21-NI,"Mar 21, 22, 28","8 am - 12:30 pm London | 1:30 pm - 6 pm India | 4 pm - 8:30 pm Singapore","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-APR04-NI,"Apr 4, 5, 11","8 am - 12:30 pm India | 10:30 am - 3 pm Singapore | 2 pm - 6:30 pm Sydney","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-APR18-NI,"Apr 18, 19, 25","8 am - 12:30 pm London | 12:30 pm - 5 pm India | 3 pm - 7:30 pm Singapore","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-APR08-NI,"April 8, 9, 10","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-APR22-NI,"April 22, 23, 24","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-APR27-NI,"April 27, 28, 29","8 AM - 12:30 PM UK | 11 AM - 3:30 PM Dubai","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-MAY06-NI,"May 6, 7, 8","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-MAY11-NI,"May 11, 12, 13","8 AM - 12:30 PM UK | 11 AM - 3:30 PM Dubai","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-MAY20-NI,"May 20, 21, 22","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-JUN03-NI,"June 3, 4, 5","8 AM - 12:30 PM EST | 1 PM - 5:30 PM UK","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-JUN08-NI,"June 8, 9, 10","8 AM - 12:30 PM UK | 11 AM - 3:30 PM Dubai","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"
icp,ICP-JUN17-NI,"June 17, 18, 19","12 PM - 4:30 PM EST | 5 PM - 9:30 PM UK","Live Online",549,1499,"Nivarti / Ilija","Expert Agile transformation Leads","assets/trainers/nivarti-ilija.png","https://linkedin.com/in/prashantshinde"

